,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.008073234558105468,0.0005651134063289449,0.00201263427734375,0.00030100998918600815,1.27427499e-06,{'ridge__alpha': 1.27427499e-06},0.07158026805801361,0.035510503149579646,0.0041924799149230165,0.05766627964178844,0.031356210315173785,0.040061148215895695,0.023179479063192777,2,0.10059269755764162,0.10654087963439293,0.11913314614161702,0.11105862145256774,0.12184959254107229,0.11183498746545832,0.00785588746313515
1,0.007259559631347656,0.00028956917082229857,0.0022989749908447266,0.0004988162173986021,0.078475997,{'ridge__alpha': 0.078475997},0.054405017549209574,0.0157750630240738,-0.00910424760066724,0.0367927413400859,0.04228001622744894,0.028029718108030195,0.022381358197174676,9,0.09207858540781853,0.09568266813863374,0.10838284464483813,0.1013834234024294,0.10553069119342127,0.1006116425574282,0.006038081155118329
2,0.0072880744934082035,0.00022746060110564065,0.002495002746582031,0.00017836051674945694,1.62377674e-05,{'ridge__alpha': 1.62377674e-05},0.07157226599876412,0.03547177309423323,0.0042053043168433476,0.057662132847625384,0.03143749222117205,0.04006979369572763,0.023168151323083423,1,0.1005873722590723,0.10654855501309808,0.11914221308076252,0.11107843746494016,0.12183720873511655,0.11183875731059793,0.007854520854502547
3,0.007219123840332031,0.00026534680696768616,0.0019276142120361328,0.00029976040936137123,0.000483293024,{'ridge__alpha': 0.000483293024},0.07132570522011779,0.03525776439417141,0.0031447265030346843,0.0567907825678067,0.03278555610093133,0.03986090695721238,0.02322060135420454,7,0.1005694230309828,0.10644421761263032,0.11914159863282699,0.11124013350179089,0.12195357562597335,0.11186978968084087,0.007900550993618402
4,0.007828760147094726,0.0007537044964934339,0.0021051406860351563,0.0002671186517391412,5.45559478e-07,{'ridge__alpha': 5.45559478e-07},0.07157690042786737,0.03551046339875308,0.004196785715930363,0.05766606063945608,0.031345876731774996,0.040059217382756376,0.023177975524893733,5,0.10059337414782889,0.10653864698040584,0.11913365809562433,0.11105845403559553,0.12184718028575539,0.111834262709042,0.007855478242557872
5,0.007784080505371094,0.0006237527152323668,0.0018018722534179688,7.836185812165363e-05,0.0143844989,{'ridge__alpha': 0.0143844989},0.0651391721338931,0.02736453426363837,-0.005747392334714452,0.04809286718562474,0.04362608959114345,0.03569505416791704,0.023960121482579696,8,0.09752068981097986,0.10243417676379815,0.11603887326941474,0.10957802579393218,0.11644784452193055,0.1084039220320111,0.007462684385787248
6,0.007752466201782227,0.0003915826227775949,0.001813507080078125,0.00013244117518739588,2.97635144e-06,{'ridge__alpha': 2.97635144e-06},0.07157239125360475,0.03549600984820832,0.0041975387248506515,0.05767431222733492,0.03136484138483217,0.04006101868776617,0.023176913991012037,3,0.10059111042132182,0.10653953329424504,0.11913369522125485,0.11106217623310005,0.12184614621594987,0.11183453227717433,0.007855676628528253
7,0.007353544235229492,0.0004192937887285189,0.0018270492553710937,0.0003904072135327432,0.183298071,{'ridge__alpha': 0.183298071},0.05025519792429628,0.01075781944633355,-0.009811025223290826,0.03182663845144234,0.0414714992021865,0.02490002596019357,0.02177308205416206,10,0.08901874313593168,0.09239819262006642,0.10393142525855989,0.09703499545926536,0.10056176120735037,0.09658902353623475,0.00538079190675055
8,0.008103656768798827,0.00028165344100752475,0.0020233154296875,0.000247535790807739,3.79269019e-05,{'ridge__alpha': 3.79269019e-05},0.07157603414438876,0.035428932953422365,0.004188728370481501,0.057602386461330604,0.031482941087974205,0.040055804603519485,0.023163576981248612,6,0.10059554913889131,0.10654768658233486,0.11914662968311607,0.11109661523790235,0.12184220536219813,0.11184573720088856,0.007854039244103802
9,0.007137489318847656,0.0002564260882215001,0.0018325328826904296,0.0001488046276678038,2.33572147e-07,{'ridge__alpha': 2.33572147e-07},0.07157411632027208,0.035507618589598576,0.0041933896757002185,0.05767884377559558,0.03134791899825742,0.040060377471884775,0.023180170192498233,4,0.10059217333647862,0.10653820773174698,0.11913366982629231,0.11105905622574912,0.12184774082731796,0.111834169589517,0.007856014321781409
